"","quad","year","track_id","basalArea_genet","logsize_t0","logsize_t1","survives","size_t1"
"1","e1q1-3",68,"SPOASP_68_1",268.76869447321,5.59385113785318,NA,0,NA
"2","e1q1a-2",68,"SPOASP_68_1",4.39222809571646,1.47983663722036,NA,0,NA
"3","e1q1a-2",68,"SPOASP_68_2",2.77091306607298,1.01917689262544,NA,0,NA
"4","e1q1a-3",65,"SPOASP_65_1",23.169832512462,3.14285110978035,NA,0,NA
"5","e1q2-4",57,"SPOASP_57_1",65.153712295739,4.17674928269562,NA,0,NA
"6","e1q2-4",57,"SPOASP_57_2",76.6053545227251,4.33866697668893,NA,0,NA
"7","e1q2-4",57,"SPOASP_57_3",84.3728402142395,4.43524555140421,NA,0,NA
"8","e1q2-4",57,"SPOASP_57_4",168.025215225285,5.12411405876748,3.57922164350895,1,35.8456293076605
"9","e1q2-4",58,"SPOASP_57_4",35.8456293076605,3.57922164350895,NA,0,NA
"10","e1q2-4",58,"SPOASP_58_1",15.0313160364185,2.71013576057163,NA,0,NA
"11","e1q2-4",58,"SPOASP_58_2",35.5060092108225,3.56970195570052,NA,0,NA
"12","e1q2-4",58,"SPOASP_58_3",25.4247571008604,3.23572338833384,NA,0,NA
"13","e1q2-8",43,"SPOASP_43_1",2.2310798513775,0.802485706552378,NA,0,NA
"14","e1q2-8",68,"SPOASP_68_1",47.442385355682,3.85951603495326,NA,0,NA
"15","e1q2-8",68,"SPOASP_68_2",64.7723786449025,4.17087925700564,NA,0,NA
"16","e1q3a-3",50,"SPOASP_50_1",5.74876199487975,1.74898452638945,NA,0,NA
"17","e1q3a-3",57,"SPOASP_57_1",49.1122258947605,3.89410800369844,4.06902963837957,1,58.5001687225365
"18","e1q3a-3",58,"SPOASP_57_1",58.5001687225365,4.06902963837957,NA,0,NA
"19","e1q3a-3",57,"SPOASP_57_2",41.8368833682436,3.73377832769548,NA,0,NA
"20","e1q4-1",41,"SPOASP_41_1",10.6139025611275,2.36216470414192,3.52912024891457,1,34.0939602186611
"21","e1q4-1",42,"SPOASP_41_1",34.0939602186611,3.52912024891457,3.18801847454565,1,24.2403469579545
"22","e1q4-1",43,"SPOASP_41_1",24.2403469579545,3.18801847454565,3.36859315820557,1,29.037646933288
"23","e1q4-1",44,"SPOASP_41_1",29.037646933288,3.36859315820557,3.63430847091929,1,37.8756517241315
"24","e1q4-1",45,"SPOASP_41_1",37.8756517241315,3.63430847091929,3.94820915272629,1,51.8424417568725
"25","e1q4-1",46,"SPOASP_41_1",51.8424417568725,3.94820915272629,4.39036536391477,1,80.6698874626769
"26","e1q4-1",47,"SPOASP_41_1",80.6698874626769,4.39036536391477,5.07876660834409,1,160.575880788443
"27","e1q4-1",48,"SPOASP_41_1",160.575880788443,5.07876660834409,4.68644271390796,1,108.466645818414
"28","e1q4-1",49,"SPOASP_41_1",108.466645818414,4.68644271390796,4.40292349678796,1,81.6893384308369
"29","e1q4-1",50,"SPOASP_41_1",81.6893384308369,4.40292349678796,4.52737373071326,1,92.5152717335675
"30","e1q4-1",51,"SPOASP_41_1",92.5152717335675,4.52737373071326,5.20262615432249,1,181.748916393165
"31","e1q4-1",52,"SPOASP_41_1",181.748916393165,5.20262615432249,5.37979267000387,1,216.977284861531
"32","e1q4-1",53,"SPOASP_41_1",216.977284861531,5.37979267000387,5.1990883845239,1,181.10706659368
"33","e1q4-1",54,"SPOASP_41_1",181.10706659368,5.1990883845239,5.60309048098098,1,271.263447857606
"34","e1q4-1",55,"SPOASP_41_1",271.263447857606,5.60309048098098,5.31956813060579,1,204.295633906861
"35","e1q4-1",56,"SPOASP_41_1",204.295633906861,5.31956813060579,5.64807914647794,1,283.745907696871
"36","e1q4-1",57,"SPOASP_41_1",283.745907696871,5.64807914647794,4.80743721471347,1,122.417485432174
"37","e1q4-1",58,"SPOASP_41_1",122.417485432174,4.80743721471347,5.30851751570853,1,202.050469601933
"38","e1q4-1",59,"SPOASP_41_1",202.050469601933,5.30851751570853,4.67609714355665,1,107.350281174908
"39","e1q4-1",60,"SPOASP_41_1",107.350281174908,4.67609714355665,5.5667639893772,1,261.586232300454
"40","e1q4-1",61,"SPOASP_41_1",261.586232300454,5.5667639893772,NA,0,NA
"41","e1q4-1",51,"SPOASP_51_1",0.723880066701448,-0.323129554045797,NA,0,NA
"42","e1q4-1",64,"SPOASP_64_1",48.1627405798305,3.87458570510887,5.14806419962271,1,172.098020242725
"43","e1q4-1",65,"SPOASP_64_1",172.098020242725,5.14806419962271,4.84545637442765,1,127.161301919707
"44","e1q4-1",66,"SPOASP_64_1",127.161301919707,4.84545637442765,5.01075045766767,1,150.017275530449
"45","e1q4-1",67,"SPOASP_64_1",150.017275530449,5.01075045766767,NA,0,NA
"46","e1q4-1",65,"SPOASP_65_1",24.56714569426,3.201410009425,NA,0,NA
"47","e1q4-1",70,"SPOASP_70_1",8.15102219814998,2.09814334247384,NA,0,NA
"48","e1q4-1",70,"SPOASP_70_2",47.7359841296554,3.86568549775901,NA,0,NA
"49","e1q4-1",70,"SPOASP_70_3",10.6290217722435,2.36358816293052,NA,0,NA
"50","e1q4-2",36,"SPOASP_36_1",5.6095651395475,1.72447320129797,3.29100229861909,1,26.8697817087835
"51","e1q4-2",37,"SPOASP_36_1",26.8697817087835,3.29100229861909,3.77681924831449,1,43.6768951995747
"52","e1q4-2",38,"SPOASP_36_1",43.6768951995747,3.77681924831449,4.0815954258279,1,59.2399073740853
"53","e1q4-2",40,"SPOASP_36_1",59.2399073740853,4.0815954258279,4.04988637527403,1,57.390935645621
