"quad","track_id","year","size_t0","survives","size_t1","logsize_t0","logsize_t1","logsize_t0_2","logsize_t0_3"
"e1q1-3","SPOASP_68_1",68,268.76869447321,0,NA,5.59385113785318,NA,31.2911705524613,175.038149999644
"e1q1a-2","SPOASP_68_1",68,4.39222809571646,0,NA,1.47983663722036,NA,2.18991647285966,3.24071862899011
"e1q1a-2","SPOASP_68_2",68,2.77091306607298,0,NA,1.01917689262544,NA,1.03872153846164,1.05864098987245
"e1q1a-3","SPOASP_65_1",65,23.169832512462,0,NA,3.14285110978035,NA,9.87751309824758,31.0435530026974
"e1q2-4","SPOASP_57_1",57,65.153712295739,0,NA,4.17674928269562,NA,17.4452345704984,72.8643709787858
"e1q2-4","SPOASP_57_2",57,76.6053545227251,0,NA,4.33866697668893,NA,18.8240311346111,81.6712022519014
"e1q2-4","SPOASP_57_3",57,84.3728402142395,0,NA,4.43524555140421,NA,19.6714031012508,87.2475030947016
"e1q2-4","SPOASP_57_4",57,168.025215225285,1,35.8456293076605,5.12411405876748,3.57922164350895,26.2565448872586,134.541530791461
"e1q2-4","SPOASP_57_4",58,35.8456293076605,0,NA,3.57922164350895,NA,12.8108275733629,45.8527913218417
"e1q2-4","SPOASP_58_1",58,15.0313160364185,0,NA,2.71013576057163,NA,7.34483584072915,19.9055022674883
"e1q2-4","SPOASP_58_2",58,35.5060092108225,0,NA,3.56970195570052,NA,12.7427720525321,45.4878983169697
"e1q2-4","SPOASP_58_3",58,25.4247571008604,0,NA,3.23572338833384,NA,10.4699058458106,33.8777192189427
"e1q2-8","SPOASP_43_1",43,2.2310798513775,0,NA,0.802485706552378,NA,0.64398330922087,0.516787400908049
"e1q2-8","SPOASP_68_1",68,47.442385355682,0,NA,3.85951603495326,NA,14.8958640240614,57.4908260553483
"e1q2-8","SPOASP_68_2",68,64.7723786449025,0,NA,4.17087925700564,NA,17.3962337765199,72.5575906085077
"e1q3a-3","SPOASP_50_1",50,5.74876199487975,0,NA,1.74898452638945,NA,3.05894687354974,5.3500507488859
"e1q3a-3","SPOASP_57_1",57,49.1122258947605,1,58.5001687225365,3.89410800369844,4.06902963837957,15.1640771444682,59.0505541769742
"e1q3a-3","SPOASP_57_1",58,58.5001687225365,0,NA,4.06902963837957,NA,16.5570021980114,67.3709326664242
"e1q3a-3","SPOASP_57_2",57,41.8368833682436,0,NA,3.73377832769548,NA,13.9411006003685,52.0529792858783
"e1q4-1","SPOASP_41_1",41,10.6139025611275,1,34.0939602186611,2.36216470414192,3.52912024891457,5.5798220894939,13.1804587951939
"e1q4-1","SPOASP_41_1",42,34.0939602186611,1,24.2403469579545,3.52912024891457,3.18801847454565,12.4546897312988,43.9540977246751
"e1q4-1","SPOASP_41_1",43,24.2403469579545,1,29.037646933288,3.18801847454565,3.36859315820557,10.1634617940443,32.4013039647522
"e1q4-1","SPOASP_41_1",44,29.037646933288,1,37.8756517241315,3.36859315820557,3.63430847091929,11.3474198655094,38.2248409222408
"e1q4-1","SPOASP_41_1",45,37.8756517241315,1,51.8424417568725,3.63430847091929,3.94820915272629,13.2081980617957,48.0026661015637
"e1q4-1","SPOASP_41_1",46,51.8424417568725,1,80.6698874626769,3.94820915272629,4.39036536391477,15.5883555136716,61.5460879150296
"e1q4-1","SPOASP_41_1",47,80.6698874626769,1,160.575880788443,4.39036536391477,5.07876660834409,19.2753080286625,84.6256447478282
"e1q4-1","SPOASP_41_1",48,160.575880788443,1,108.466645818414,5.07876660834409,4.68644271390796,25.7938702620309,131.001046986762
"e1q4-1","SPOASP_41_1",49,108.466645818414,1,81.6893384308369,4.68644271390796,4.40292349678796,21.962745310741,102.927147738939
"e1q4-1","SPOASP_41_1",50,81.6893384308369,1,92.5152717335675,4.40292349678796,4.52737373071326,19.3857353185675,85.3539095366329
"e1q4-1","SPOASP_41_1",51,92.5152717335675,1,181.748916393165,4.52737373071326,5.20262615432249,20.4971128975525,92.7980904878429
