"","quad","year","track_id","size_t0","logsize_t0","survives","size_t1"
"43","gzgz_19",1999,"SITHYS_1998_2",0.00088434962970735,-7.03065806480087,1,0.00063002879705173
"45","gzgz_19",1998,"SITHYS_1998_3",0.000338124415276117,-7.9920966376778,1,0.00374455212087852
"46","gzgz_19",1999,"SITHYS_1998_3",0.00374455212087852,-5.58745326305579,1,0.000844816280985928
"47","gzgz_19",2000,"SITHYS_1998_3",0.000844816280985928,-7.07639137319759,1,0.000734103755160892
"49","gzgz_19",1998,"SITHYS_1998_4",0.0013088467436804,-6.63860887783882,1,0.00386407638450561
"50","gzgz_19",1999,"SITHYS_1998_4",0.00386407638450561,-5.55603259458046,1,4.99999999999988e-05
"51","gzgz_19",2000,"SITHYS_1998_4",4.99999999999988e-05,-9.90348755253615,1,4.99999999999988e-05
"56","gzgz_19",1999,"SITHYS_1999_3",0.00198745106004138,-6.22090233561751,1,0.00161684229847264
"57","gzgz_19",2000,"SITHYS_1999_3",0.00161684229847264,-6.42728023037106,1,0.000527448240038892
"59","gzgz_19",2000,"SITHYS_2000_1",0.00164136712686119,-6.4122257704694,1,2.50000000000001e-05
"60","gzgz_19",2001,"SITHYS_2000_1",2.50000000000001e-05,-10.5966347330961,1,0.000985289999027749
"62","gzgz_19",2000,"SITHYS_2000_10",0.000592289751625815,-7.43151459750568,1,0.000565021930955285
"64","gzgz_19",2000,"SITHYS_2000_11",0.000551042414867342,-7.50369877379336,1,0.00048134753326311
"66","gzgz_19",2000,"SITHYS_2000_12",0.000677622413506641,-7.29692033738919,1,0.000359782534512456
"68","gzgz_19",2000,"SITHYS_2000_13",0.000439989835751349,-7.7287589318839,1,0.000406155016804497
"70","gzgz_19",2000,"SITHYS_2000_14",0.00170396668838529,-6.37479639983576,1,0.00106801908631697
"72","gzgz_19",2000,"SITHYS_2000_15",0.00111750036107545,-6.79666090836658,1,0.0007570445632071
"74","gzgz_19",2000,"SITHYS_2000_16",0.000961937270209054,-6.94656131710758,1,0.000377846242600471
"76","gzgz_19",2000,"SITHYS_2000_17",2.49999999999994e-05,-10.5966347330961,1,0.000915363964915677
"81","gzgz_19",2000,"SITHYS_2000_20",2.4999999999999e-05,-10.5966347330961,1,0.000903940804253422
"85","gzgz_19",2000,"SITHYS_2000_23",2.4999999999999e-05,-10.5966347330961,1,0.000213830387412924
"87","gzgz_19",2000,"SITHYS_2000_3",0.000732212878937908,-7.2194392680612,1,0.000471654097679679
"90","gzgz_19",2000,"SITHYS_2000_5",0.000557205967210341,-7.49257560683682,1,0.000855295003820976
"91","gzgz_19",2001,"SITHYS_2000_5",0.000855295003820976,-7.06406411482921,1,0.000906268636621953
"93","gzgz_19",2000,"SITHYS_2000_6",0.000178255108752657,-8.63229483847661,1,0.00110833051228221
"96","gzgz_19",2000,"SITHYS_2000_8",0.000286406965549524,-8.15809680212073,1,0.00064437163216966
"97","gzgz_19",2001,"SITHYS_2000_8",0.00064437163216966,-7.34723492971354,1,0.0018447332603344
"98","gzgz_19",2002,"SITHYS_2000_8",0.0018447332603344,-6.29542058628602,1,0.000233250010765866
